Time,Tag ID,Cattle Name,Quantity (L),Quality,Temperature (°C)
"20/11/2025, 18:48:00","CT001","Bella","11.6","good","37.22"
"20/11/2025, 18:37:00","CT011","Sophie","4","excellent","37.6"
"20/11/2025, 18:23:00","CT005","Ruby","2.7","excellent","37.29"
"20/11/2025, 18:09:00","CT007","Rosie","9.8","excellent","37.54"
"20/11/2025, 17:54:00","CT009","Grace","10.1","good","37.5"
"20/11/2025, 17:51:00","CT008","Betty","13.3","fair","37.54"
"20/11/2025, 17:42:00","CT004","Luna","8.3","good","37.28"
"20/11/2025, 17:40:00","CT012","Lily","8.8","good","37.37"
"20/11/2025, 17:39:00","CT006","Maggie","9.7","good","37.35"
"20/11/2025, 17:34:00","CT002","Daisy","7.3","good","37.24"
"20/11/2025, 17:15:00","CT010","Emma","6.9","good","37.39"
"20/11/2025, 17:02:00","CT003","Molly","4.7","good","37.58"
"20/11/2025, 07:53:00","CT003","Molly","7.2","fair","37.13"
"20/11/2025, 07:49:00","CT001","Bella","14.8","good","36.93"
"20/11/2025, 07:44:00","CT011","Sophie","5.8","excellent","37.1"
"20/11/2025, 07:35:00","CT012","Lily","13.2","excellent","36.86"
"20/11/2025, 07:16:00","CT007","Rosie","13.1","good","36.81"
"20/11/2025, 07:13:00","CT002","Daisy","9.2","good","36.81"
"20/11/2025, 06:43:00","CT010","Emma","9.3","good","36.9"
"20/11/2025, 06:35:00","CT004","Luna","8.8","good","36.96"
"20/11/2025, 06:29:00","CT005","Ruby","5.6","good","36.95"
"20/11/2025, 06:19:00","CT008","Betty","15.7","good","37.08"
"20/11/2025, 06:12:00","CT006","Maggie","10.3","good","37.1"
"20/11/2025, 06:00:00","CT009","Grace","12.1","fair","37.2"
"19/11/2025, 18:53:00","CT001","Bella","10.4","good","37.33"
"19/11/2025, 18:40:00","CT005","Ruby","3.9","good","37.42"
"19/11/2025, 18:26:00","CT011","Sophie","4.8","good","37.49"
"19/11/2025, 18:11:00","CT003","Molly","5.5","good","37.33"
"19/11/2025, 18:08:00","CT008","Betty","12.2","good","37.4"
"19/11/2025, 18:07:00","CT012","Lily","9.5","fair","37.49"
"19/11/2025, 18:05:00","CT009","Grace","10.2","excellent","37.41"
"19/11/2025, 17:49:00","CT002","Daisy","7","good","37.32"
"19/11/2025, 17:42:00","CT006","Maggie","10.2","good","37.47"
"19/11/2025, 17:42:00","CT007","Rosie","8.6","good","37.55"
"19/11/2025, 17:26:00","CT010","Emma","7.3","good","37.48"
"19/11/2025, 17:18:00","CT004","Luna","5.9","fair","37.56"
"19/11/2025, 07:50:00","CT005","Ruby","3.8","fair","37.07"
"19/11/2025, 07:46:00","CT008","Betty","14.5","good","36.98"
"19/11/2025, 07:39:00","CT002","Daisy","8.7","good","36.97"
"19/11/2025, 07:30:00","CT003","Molly","7.2","good","36.97"
"19/11/2025, 07:17:00","CT007","Rosie","11.5","excellent","36.92"
"19/11/2025, 07:10:00","CT004","Luna","9.7","excellent","36.9"
"19/11/2025, 07:05:00","CT011","Sophie","4.6","good","36.87"
"19/11/2025, 07:02:00","CT001","Bella","13.8","good","37.11"
"19/11/2025, 06:53:00","CT009","Grace","11.5","good","37.04"
"19/11/2025, 06:46:00","CT010","Emma","10.7","good","37.01"
"19/11/2025, 06:32:00","CT006","Maggie","12.3","excellent","37.04"
"19/11/2025, 06:27:00","CT012","Lily","10.4","good","37.03"
"18/11/2025, 18:58:00","CT005","Ruby","4.3","fair","37.53"
"18/11/2025, 18:53:00","CT012","Lily","10.6","good","37.52"
"18/11/2025, 18:49:00","CT004","Luna","5.8","good","37.24"
"18/11/2025, 18:39:00","CT007","Rosie","9.2","good","37.21"
"18/11/2025, 18:29:00","CT001","Bella","12.7","good","37.45"
"18/11/2025, 18:21:00","CT009","Grace","10","good","37.39"
"18/11/2025, 18:08:00","CT011","Sophie","4.6","excellent","37.43"
"18/11/2025, 18:02:00","CT003","Molly","4.8","good","37.3"
"18/11/2025, 17:59:00","CT010","Emma","7.1","good","37.53"
"18/11/2025, 17:58:00","CT006","Maggie","8.6","good","37.55"
"18/11/2025, 17:47:00","CT008","Betty","12.8","excellent","37.36"
"18/11/2025, 17:33:00","CT002","Daisy","7.2","good","37.34"
"18/11/2025, 07:12:00","CT007","Rosie","13.6","good","37.11"
"18/11/2025, 07:06:00","CT006","Maggie","11.3","good","37.12"
"18/11/2025, 07:01:00","CT011","Sophie","6.3","good","37.1"
"18/11/2025, 06:59:00","CT009","Grace","9.9","good","36.96"
"18/11/2025, 06:56:00","CT002","Daisy","8.6","good","37.12"
"18/11/2025, 06:52:00","CT005","Ruby","5.8","fair","37"
"18/11/2025, 06:51:00","CT010","Emma","10.1","good","37.18"
"18/11/2025, 06:47:00","CT001","Bella","12.5","good","37.15"
"18/11/2025, 06:44:00","CT004","Luna","7.8","fair","36.82"
"18/11/2025, 06:43:00","CT012","Lily","11.1","fair","36.97"
"18/11/2025, 06:40:00","CT003","Molly","7.6","fair","37.04"
"18/11/2025, 06:11:00","CT008","Betty","15.7","excellent","36.87"
"17/11/2025, 18:55:00","CT002","Daisy","7.2","excellent","37.46"
"17/11/2025, 18:44:00","CT006","Maggie","9.6","good","37.43"
"17/11/2025, 18:29:00","CT001","Bella","11.4","good","37.38"
"17/11/2025, 18:13:00","CT010","Emma","8.4","good","37.32"
"17/11/2025, 17:51:00","CT007","Rosie","10.5","good","37.29"
"17/11/2025, 17:45:00","CT009","Grace","8","good","37.24"
"17/11/2025, 17:35:00","CT011","Sophie","3.6","good","37.37"
"17/11/2025, 17:26:00","CT003","Molly","5.7","good","37.38"
"17/11/2025, 17:22:00","CT004","Luna","8.3","good","37.36"
"17/11/2025, 17:19:00","CT008","Betty","13","good","37.22"
"17/11/2025, 17:04:00","CT012","Lily","10.3","good","37.52"
"17/11/2025, 17:00:00","CT005","Ruby","4.1","excellent","37.31"
"17/11/2025, 07:54:00","CT008","Betty","16.2","good","37.14"
"17/11/2025, 07:51:00","CT002","Daisy","9","good","37.04"
"17/11/2025, 07:49:00","CT006","Maggie","12","good","36.88"
"17/11/2025, 07:47:00","CT003","Molly","7.3","fair","36.93"
"17/11/2025, 07:38:00","CT010","Emma","9.8","fair","36.83"
"17/11/2025, 07:33:00","CT011","Sophie","4.7","fair","37.17"
"17/11/2025, 07:25:00","CT005","Ruby","3.5","excellent","37.06"
"17/11/2025, 07:12:00","CT007","Rosie","12","good","37.01"
"17/11/2025, 06:57:00","CT009","Grace","10.8","good","36.99"
"17/11/2025, 06:48:00","CT012","Lily","11.8","good","36.98"
"17/11/2025, 06:36:00","CT004","Luna","8.6","good","37.01"
"17/11/2025, 06:26:00","CT001","Bella","14.5","good","37.04"
"16/11/2025, 18:53:00","CT005","Ruby","4.8","good","37.41"
"16/11/2025, 18:46:00","CT007","Rosie","10.9","excellent","37.26"
"16/11/2025, 18:46:00","CT002","Daisy","7.3","good","37.37"
"16/11/2025, 18:43:00","CT010","Emma","6.9","good","37.58"
"16/11/2025, 18:18:00","CT009","Grace","7.9","good","37.33"
"16/11/2025, 18:10:00","CT006","Maggie","8.8","good","37.46"
"16/11/2025, 18:08:00","CT004","Luna","6.1","good","37.3"
"16/11/2025, 18:08:00","CT011","Sophie","5.2","good","37.52"
"16/11/2025, 18:05:00","CT012","Lily","10.7","good","37.33"
"16/11/2025, 17:23:00","CT008","Betty","13.1","fair","37.25"
"16/11/2025, 17:14:00","CT003","Molly","7.1","good","37.56"
"16/11/2025, 17:14:00","CT001","Bella","12","good","37.57"
"16/11/2025, 07:58:00","CT003","Molly","8.2","excellent","37.03"
"16/11/2025, 07:51:00","CT002","Daisy","9.8","good","36.95"
"16/11/2025, 07:24:00","CT011","Sophie","6.5","good","37.06"
"16/11/2025, 07:19:00","CT006","Maggie","12.1","good","37.09"
"16/11/2025, 07:11:00","CT004","Luna","9.5","fair","36.92"
"16/11/2025, 07:08:00","CT007","Rosie","10.8","excellent","37.11"
"16/11/2025, 06:58:00","CT012","Lily","12","good","37.16"
"16/11/2025, 06:51:00","CT009","Grace","10.2","good","36.93"
"16/11/2025, 06:50:00","CT008","Betty","14.5","good","37.16"
"16/11/2025, 06:39:00","CT001","Bella","14","good","36.97"
"16/11/2025, 06:12:00","CT010","Emma","10.7","excellent","37.18"
"16/11/2025, 06:11:00","CT005","Ruby","4.1","good","36.81"
"15/11/2025, 18:44:00","CT006","Maggie","9.7","good","37.47"
"15/11/2025, 18:44:00","CT012","Lily","8.4","excellent","37.38"
"15/11/2025, 18:44:00","CT011","Sophie","5","good","37.22"
"15/11/2025, 18:38:00","CT004","Luna","7.3","good","37.29"
"15/11/2025, 18:30:00","CT009","Grace","7.3","excellent","37.27"
"15/11/2025, 18:30:00","CT007","Rosie","9.2","fair","37.23"
"15/11/2025, 17:40:00","CT001","Bella","11.2","good","37.51"
"15/11/2025, 17:37:00","CT002","Daisy","9.3","good","37.41"
"15/11/2025, 17:35:00","CT005","Ruby","2.3","excellent","37.6"
"15/11/2025, 17:28:00","CT010","Emma","6.7","good","37.52"
"15/11/2025, 17:26:00","CT003","Molly","6.3","good","37.57"
"15/11/2025, 17:22:00","CT008","Betty","11.8","good","37.32"
"15/11/2025, 07:59:00","CT005","Ruby","4.1","fair","37.16"
"15/11/2025, 07:54:00","CT007","Rosie","12.6","good","36.95"
"15/11/2025, 07:53:00","CT008","Betty","15.7","good","37"
"15/11/2025, 07:51:00","CT004","Luna","7.5","fair","37.12"
"15/11/2025, 07:07:00","CT001","Bella","13.9","good","36.96"
"15/11/2025, 07:06:00","CT012","Lily","12","good","37.1"
"15/11/2025, 07:03:00","CT011","Sophie","5.6","good","36.8"
"15/11/2025, 06:56:00","CT002","Daisy","10.5","good","36.93"
"15/11/2025, 06:52:00","CT009","Grace","10.3","good","37.04"
"15/11/2025, 06:42:00","CT003","Molly","6.3","good","37.05"
"15/11/2025, 06:08:00","CT006","Maggie","11.7","fair","37.08"
"15/11/2025, 06:03:00","CT010","Emma","10","good","37.09"
"14/11/2025, 18:33:00","CT011","Sophie","5.9","good","37.34"
"14/11/2025, 18:28:00","CT007","Rosie","11.2","excellent","37.22"
"14/11/2025, 18:28:00","CT008","Betty","11.4","good","37.28"
"14/11/2025, 18:09:00","CT002","Daisy","9.6","good","37.23"
"14/11/2025, 18:07:00","CT012","Lily","10.9","good","37.29"
"14/11/2025, 17:58:00","CT003","Molly","6.4","good","37.52"
"14/11/2025, 17:41:00","CT001","Bella","11.6","excellent","37.37"
"14/11/2025, 17:28:00","CT009","Grace","7.8","fair","37.43"
"14/11/2025, 17:26:00","CT004","Luna","7.4","good","37.23"
"14/11/2025, 17:25:00","CT006","Maggie","10.1","good","37.4"
"14/11/2025, 17:11:00","CT010","Emma","8.6","fair","37.51"
"14/11/2025, 17:06:00","CT005","Ruby","4","good","37.29"
"14/11/2025, 07:38:00","CT004","Luna","8.5","fair","36.89"
"14/11/2025, 07:35:00","CT005","Ruby","5.5","good","36.94"
"14/11/2025, 07:15:00","CT007","Rosie","13.6","excellent","36.95"
"14/11/2025, 07:07:00","CT001","Bella","15.4","good","36.86"
"14/11/2025, 07:07:00","CT002","Daisy","8.7","fair","36.99"
"14/11/2025, 06:57:00","CT008","Betty","17.1","good","36.88"
"14/11/2025, 06:35:00","CT012","Lily","11.9","good","36.86"
